game_id,event_id,period,clock,description,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,landing_foul,note,timestamp
0022100369,373,3,PT07M34.00S,"Turner S.FOUL (P1.T1) (B.Adair)","R. Barrett",NYK,"M. Turner",IND,B.Adair,YES,"",2026-06-29T14:39:17.896Z
0022300982,612,4,PT01M41.00S,"Moon S.FOUL (P2.PN) (J.Tiven)","V. Krejčí",ATL,"X. Moon",LAC,J.Tiven,YES,"",2026-06-29T14:39:30.039Z
0021900774,304,2,PT00M02.70S,"Covington S.FOUL (P2.PN) (Z.Zarba)","D. Booker",PHX,"R. Covington",HOU,Z.Zarba,NO,"Looks closer to a contest call",2026-06-29T14:40:34.258Z
0021900504,437,3,PT06M09.00S,"Frazier Jr. S.FOUL (P4.T2) (J.Goble)","G. Mathews",WAS,"M. Frazier Jr.",ORL,J.Goble,YES,"",2026-06-29T14:40:42.229Z
0022401212,116,1,PT04M05.00S,"Simpson S.FOUL (P1.T3) (J.Goble)","L. Ball",CHI,"K. Simpson",CHA,J.Goble,YES,"",2026-06-29T14:40:50.426Z
0022300109,139,1,PT02M57.00S,"Burks S.FOUL (P2.T2) (L.Holtkamp)","D. Bertans",OKC,"A. Burks",DET,L.Holtkamp,YES,"",2026-06-29T14:40:57.793Z
0022300304,266,2,PT04M15.00S,"Powell S.FOUL (P2.PN) (J.Goble)","S. Sharpe",POR,"N. Powell",LAC,J.Goble,YES,"",2026-06-29T14:41:54.842Z
0022000915,260,2,PT03M26.00S,"Hield S.FOUL (P2.PN) (Z.Zarba)","S. Curry",GSW,"B. Hield",SAC,Z.Zarba,NO,"",2026-06-29T14:42:11.005Z
0022101226,27,1,PT09M21.00S,"Brooks S.FOUL (P1.T2) (J.Goble)","I. Quickley",NYK,"A. Brooks",TOR,J.Goble,NO,"Looks like contest contact is made prior to any landing zone activity",2026-06-29T14:43:05.908Z
0021900153,368,3,PT08M04.00S,"McCollum S.FOUL (P1.T2) (K.Lane)","B. Hield",SAC,"C. McCollum",POR,K.Lane,YES,"",2026-06-29T14:43:23.280Z
0022001049,305,2,PT00M29.00S,"Harris S.FOUL (P2.T1) (A.Smith)","B. Bogdanović",ATL,"G. Harris",ORL,A.Smith,NO,"Contest",2026-06-29T14:43:53.514Z
